Title,Date,Time,Venue,Category,Link,Payment for Entry,Source,_EndDate
Sprawunki — Targi Wyjątkowych Rzeczy,2025-10-21,,Warsztaty Kultury,Inne,https://zoom.lublin.pl/wydarzenie/sprawunki-targi-wyjatkowych-rzeczy/,,zoom.lublin.pl,2025-11-11
Wystawa Doroty Mościbrodzkiej: Odzyskać srebro,2025-10-21,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-doroty-moscibrodzkiej-odzyskac-srebro,85732,0,w.html",,lublin.eu,2025-11-09
"Wystawa: ""Subiektywnie — narracja czy interpretacja” Foto-grafiki",2025-10-24,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-subiektywnie-narracja-czy-interpretacja-foto-grafiki,86241,0,w.html",,lublin.eu,2025-11-15
Wystawa: Perspektywy,2025-10-24,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-perspektywy,86240,0,w.html",,lublin.eu,2025-11-15
"Wystawa ""Śmiertelnie boję się żyć""",2025-10-31,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-smiertelnie-boje-sie-zyc,86234,0,w.html",,lublin.eu,2025-11-17
Wystawa: Uroki Lubelszczyzny,2025-10-31,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-uroki-lubelszczyzny,86377,0,w.html",,lublin.eu,2025-11-19
Krzysztof Wereński — Subiektywnie — narracja czy interpretacja,2025-11-01,,Galeria po 111 schodach,Wystawa,https://zoom.lublin.pl/wydarzenie/krzysztof-werenski-subiektywnie-narracja-czy-interpretacja/,,zoom.lublin.pl,2025-11-15
Patryk Pawluczuk — Lublin kiedyś i dziś,2025-11-01,,Księgarnio-Kawiarnia „Między Słowami”,Wystawa,https://zoom.lublin.pl/wydarzenie/patryk-pawluczuk-lublin-kiedys-i-dzis/,,zoom.lublin.pl,2025-11-21
Krzysztof Bil — trochę powietrza,2025-11-02,,Creamy Cafe,Wystawa,https://zoom.lublin.pl/wydarzenie/krzysztof-bil-troche-powietrza/,,zoom.lublin.pl,2025-11-30
Aleksander Krasowski — Wystawa akwareli i grafiki,2025-11-03,,Miejska Biblioteka Publiczna Filia nr 3,Wystawa,https://zoom.lublin.pl/wydarzenie/aleksander-krasowski-wystawa-akwareli-i-grafiki/,,zoom.lublin.pl,2025-11-28
Ka Mochi,2025-11-03,,Miejska Biblioteka Publiczna Filia nr 28,Wystawa,https://zoom.lublin.pl/wydarzenie/ka-mochi/,,zoom.lublin.pl,2025-11-28
Opowieści z babcinego podwórka,2025-11-03,,Miejska Biblioteka Publiczna Filia nr 13,Wystawa,https://zoom.lublin.pl/wydarzenie/opowiesci-z-babcinego-podworka-2/,,zoom.lublin.pl,2025-11-28
Paulina Wilk-Czarnacka — Rysunek/Malarstwo,2025-11-03,,Galeria Ryt,Wystawa,https://zoom.lublin.pl/wydarzenie/paulina-wilk-czarnacka-rysunek-malarstwo/,,zoom.lublin.pl,2025-11-30
Ze słownikiem do ZOO,2025-11-03,,Miejska Biblioteka Publiczna Filia nr 2,Wystawa,https://zoom.lublin.pl/wydarzenie/ze-slownikiem-do-zoo-2/,,zoom.lublin.pl,2025-11-28
Janusz Kirenko — &#8230;stojąc,2025-11-04,,Galeria Art Brut,Wystawa,https://zoom.lublin.pl/wydarzenie/janusz-kirenko-stojac/,,zoom.lublin.pl,2025-12-01
Wystawa: Szerokie. Poznaj. Dotknij. Doświadcz.,2025-11-05,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-szerokie-poznaj-dotknij-doswiadcz-,86417,0,w.html",,lublin.eu,2025-11-20
29. Międzynarodowe Spotkania Teatrów Tańca,2025-11-06,,Centrum Kultury w Lublinie,Taniec,https://zoom.lublin.pl/wydarzenie/29-miedzynarodowe-spotkania-teatrow-tanca/,,zoom.lublin.pl,2025-11-11
Bożena i Waldemar Komorowscy — Grzybobranie,2025-11-07,,Galeria Ratusz,Wystawa,https://zoom.lublin.pl/wydarzenie/bozena-i-waldemar-komorowscy-grzybobranie-2/,,zoom.lublin.pl,2025-11-28
Urszula Pieregończuk: W świecie narracji,2025-11-08,,Lubelskie Zakłady Tytoniowe,Wystawa,https://zoom.lublin.pl/wydarzenie/urszula-pieregonczuk-w-swiecie-narracji/,,zoom.lublin.pl,2025-11-29
"Wystawa Stanisława Szukalskiego ""Zamarły lot""",2025-11-08,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-stanislawa-szukalskiego-zamarly-lot,86267,0,w.html",,lublin.eu,2025-12-04
